Genetic ID	Master ID
I36923.TW	I36923
I36924.TW	I36924
I36925.TW	I36925
I36926.TW	I36926
I36927.TW	I36927
I36962.TW	I36962
I36963.TW	I36963
I36964.TW	I36964
I36965.TW	I36965
I36966.TW	I36966
I36967.TW	I36967
I36968.TW	I36968
I36969.TW	I36969
I36970.TW	I36970
I36971.TW	I36971
I36972.TW	I36972
I36973.TW	I36973
I36974.TW	I36974
I36975.TW	I36975
I36976.TW	I36976
I36979.TW	I36979
I36979_d.TW	I36979
I36980.TW	I36980
I36981.TW	I36981
I36982.TW	I36982
I36983.TW	I36983
I36984.TW	I36984
I36985.TW	I36985
I36986.TW	I36986
I36987.TW	I36987
I36988.TW	I36988
I36989.TW	I36989
I36990.TW	I36990
I36991.TW	I36991
I36992.TW	I36992
I36993.TW	I36993
I36994.TW	I36994
I36996.TW	I36996
I37123.TW	I37123
I37124.TW	I37124
I37125.TW	I37125
I37126.TW	I37126
I37127.TW	I37127
I37128.TW	I37128
I37129.TW	I37129
I37130.TW	I37130
I37131.TW	I37131
I37132.TW	I37132
I37133.TW	I37133
I37134.TW	I37134
I37135.TW	I37135
I37136.TW	I37136
I37137.TW	I37137
I37138.TW	I37138
I37139.TW	I37139
I37141.TW	I37141
I37142.TW	I37142
I37159.TW	I37159
I37160.TW	I37160
I37161.TW	I37161
I37162.TW	I37162
I37163.TW	I37163
I37164.TW	I37164
I37165.TW	I37165
I37166.TW	I37166
I37167.TW	I37167
I37168.TW	I37168
I37169.TW	I37169
I37171.TW	I37171
I37172.TW	I37172
I37173.TW	I37173
I37174.TW	I37174
I37175.TW	I37175
I37176.TW	I37176
I39402.TW	I39402
I39403.TW	I39403
I39406.TW	I39406
I20989.AG	I20989
I36780.TW	I36780
I21309.AG	I21309
I21313.AG	I21313
I2696.AG	I2696
I20584.AG	I20584
I36995.TW	I36995
I16417.TW	I16417
I33165.TW	I33165
I13616.AG	I13616
I16613.AG	I16613
I21306.AG	I21306
I11143.AG	I11143
I13726.AG	I13726
I14353.AG	I14353
I16503.AG	I16503
I16620.AG	I16620
I21307.AG	I21307
I11991.AG	I11991
I21310.AG	I21310
I17263.AG	I17263
I16416.AG	I16416
I36977.TW	I36977
I37140.TW	I37140
I21312.AG	I21312
I11992.AG	I11992
I21314.AG	I21314
I16601.AG	I16601
I16609.AG	I16609
I21311.AG	I21311
I35737_v57.1.TW	I35737
I35740_v57.1.TW	I35740
I35741_v57.1.TW	I35741
I16499.AG	I16499
I27379.AG	I27379
I11142.AG	I11142
I36185.TW	I36185
I36950.TW	I36950
I2693.AG	I2693
I21308.AG	I21308
I16495.AG	I16495
I12785.AG	I12785
I12791.AG	I12791
I17017.AG	I17017
I19870.AG	I19870
I34769.TW	I34769
S42807_Rabble.11_SQ.TW	I42807
I16386.AG	I16386
